date,month,pm2.5_dailymean,aqi,units,site_name,site_id,state,method_code,method_desc,lat,long
2020-06-26,6,7.7,43,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-27,6,7.4,41,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-28,6,6.5,36,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-29,6,5.7,32,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-30,6,5.3,29,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-01,7,5.8,32,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-02,7,6.5,36,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-03,7,8.5,47,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-04,7,12.9,58,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-05,7,13.6,59,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-06,7,6.2,34,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-07,7,5.8,32,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-08,7,8,44,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-09,7,9.7,52,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-10,7,6.7,37,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-11,7,6.1,34,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-12,7,5.6,31,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-13,7,7.8,43,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-14,7,7.4,41,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-15,7,4.6,26,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-16,7,5.7,32,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-17,7,5.1,28,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-18,7,7.1,39,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-19,7,9.7,52,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-20,7,8.8,49,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-07-21,7,5.7,32,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
